name_eng,url
Ji Su Jang,https://www.baseball-reference.com/register/player.fcgi?id=jang--000ji-
Jin Hyuk Jang,https://www.baseball-reference.com/register/player.fcgi?id=chang-003jin
Min Je Jang,https://www.baseball-reference.com/register/player.fcgi?id=jang--001min
Hyun Sang Joo,https://www.baseball-reference.com/register/player.fcgi?id=choo--000hye
Eun Won Jung,https://www.baseball-reference.com/register/player.fcgi?id=jung--000eun
Beom Su Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000bum
Do Been Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000dob
In-hwan Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---006in-
Kang Min Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000gan
Ki Joong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000kij
Kyu Yeon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---007kyu
Min Woo Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---018min
Seo Hyeon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---051seo
Seung Il Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---008seu
Tae Yean Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---026tae
Kwang-Min Kwon,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000kwa
Chung Ho Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003chu
Do Yun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---001do-
Jae Won Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---005jae
Jin Young Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---004jin
Min Woo Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---006min
Myung Ki Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000mye
Sang Hyuk Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---030san
Sang Kyu Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---027san
Tae Yang Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003tae
Won Seok Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---010won
Jong Chan Lim,https://www.baseball-reference.com/register/player.fcgi?id=lim---002jon
Dong Ju Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--002don
Hyun Bin Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--000hyu
Ji Min Nam,https://www.baseball-reference.com/register/player.fcgi?id=nam---000jim
Sang Un Park,https://www.baseball-reference.com/register/player.fcgi?id=park--007san
Sang-won Park,https://www.baseball-reference.com/register/player.fcgi?id=park--006san
Félix Peña,https://www.baseball-reference.com/register/player.fcgi?id=pena--002fel
Yonathan Perlaza,https://www.baseball-reference.com/register/player.fcgi?id=perlaz000yon
Si Hwan Roh,https://www.baseball-reference.com/register/player.fcgi?id=noh---000si-
