name_eng_x,url,name_new,name_kor,name_eng_y
In-hwan Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---006in-,in hwan kim,김인환,In-Hwan Kim
Kang Min Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000gan,kang min kim,김강민,Kang-Min Kim
Ki Joong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000kij,ki joong kim,김기중,Ki-Joong Kim
Kyu Yeon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---007kyu,kyu yeon kim,김규연,Kyu-Yeon Kim
Min Woo Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---018min,min woo kim,김민우,Min-Woo Kim
Seo Hyeon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---051seo,seo hyeon kim,김서현,Seo-Hyeon Kim
Seung Il Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---008seu,seung il kim,김승일,Seung-il Kim
Kwang-Min Kwon,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000kwa,kwang min kwon,권광민,Kwang-Min Kwon
Chung Ho Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003chu,chung ho lee,이충호,Chung-Ho Lee
Do Yun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---001do-,do yun lee,이도윤,Do-Yun Lee
Jae Won Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---005jae,jae won lee,이재원,Jae-Won Lee
Jin Young Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---004jin,jin young lee,이진영,Jin-Young Lee
