name_eng_x,url,name_new,name_kor,name_eng_y
Byeong-gwon Mun,https://www.baseball-reference.com/register/player.fcgi?id=mun---000bye,byeong gwon moon,,
,,byeong heui jeong,정병희,Byeong-Heui Jeong
Byeong-ho Pak,https://www.baseball-reference.com/register/player.fcgi?id=pak---000bye,byeong ho park,,
,,byeong hui kim,김병희,Byeong-Hui Kim
Byeong-hun Kam,https://www.baseball-reference.com/register/player.fcgi?id=kam---000bye,byeong hun kam,,
Byeong-hun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---002bye,byeong hun lee,,
,,byeong hyeon kim,김병현,Byeong-Hyeon Kim
Byeong-hyi Chung,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000bye,byeong hyi jeong,,
Byeong-hyi Son,https://www.baseball-reference.com/register/player.fcgi?id=son---000bye,byeong hyi sohn,,
Byeong-jun Ye,https://www.baseball-reference.com/register/player.fcgi?id=ye----000bye,byeong jun ye,,
Byeong-gyu Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000bye,byeong kyu kang,,
,,byeong kyu lee,이병규,Byeong-Kyu Lee
Byeong-meong Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003bye,byeong meong lee,,
Byeong-seon Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--004bye,byeong seon kang,,
,,byeong ui kang,강병의,Byeong-Ui Kang
Byeong Uk Jo,https://www.baseball-reference.com/register/player.fcgi?id=jo----000bye,byeong uk cho,,
,,byeong woo park,박병우,Byeong-u Park
,,byeong wook cho,조병욱,Byeong-Wook Jo
,,byeong yeon choi,최병연,Byeong-Yeon Choi
Byong Yeon Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000byu,byong yeon choi,,
Byoung Gon Jung,https://www.baseball-reference.com/register/player.fcgi?id=chung-000byo,byoung gon jeong,,
,,byoung woo kang,강병우,Byoung-Woo Kang
,,byung chun cho,조병천,Byung-Chun Cho
,,byung doo kim,김병두,Byung-Doo Kim
,,byung eok lee,이병억,Byung-Eok Lee
,,byung geol woo,우병걸,Byunggeol Woo
Byung Hee Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002byu,byung hee kim,,
,,byung hee sohn,손병희,Byung-Hee Son
,,byung hoon kam,감병훈,Byung-Hoon Gam
,,byung hoon lee,이병훈,Byung-Hoon Lee
,,byung hoon noh,노병훈,Byung-Hoon Noh
,,byung hoon park,박병훈,Byung-Hoon Park
,,byung hun lee,이병훈,Byung-Hun Lee
Byung-hwee Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003byu,byung hwee lee,,
Byung-Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001byu,byung hyun kim,,
,,byung jae kim,김병재,Byung-Jae Kim
,,byung joo kim,김병주,Byung-Joo Kim
,,byung jun kim,김병준,Byung-Jun Kim
,,byung jun lee,이병준,Byung-Jun Lee
,,byung jun ye,예병준,Byung-Jun Ye
,,byung keun kim,김병근,Byung-Keun Kim
,,byung kwon moon,문병권,Byung-Kwon Moon
,,byung kyu cho,조병규,Byung-Gyu Cho
,,byung kyu kang,강병규,Byung-Kyu Kang
,,byung moo kang,강병무,Byung-Moo Kang
,,byung seon kwak,곽병선,Byung-seon Kwak
,,byung soo kang,강병수,Byung-Soo Kang
,,byung sun kang,강병선,Byung-Sun Kang
,,byung sun ryu,유병선,BYUNG-SUN RYU
Byung-ui Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000byu,byung ui kang,,
C.J. Nitkowski,https://www.baseball-reference.com/register/player.fcgi?id=nitkow001chr,c.j. nitkowski,,
Caleb Clay,https://www.baseball-reference.com/register/player.fcgi?id=clay--001cal,caleb clay,,
,,caleb russell clay,클레이,Caleb Russell Clay
,,carl allen webster,웹스터,Carl Allen Webster
,,carlos a. asuaje,아수아헤,Carlos A. Asuaje
Carlos Asuaje,https://www.baseball-reference.com/register/player.fcgi?id=asuaje000car,carlos asuaje,,
,,case mitchell,미첼,Case Mitchell
Casey Kelly,https://www.baseball-reference.com/register/player.fcgi?id=kelly-001cas,casey kelly,,
,,casey patrick kelly,켈리,Casey Patrick Kelly
Cedrick Bowers,https://www.baseball-reference.com/register/player.fcgi?id=bowers001ced,cedrick bowers,,
,,cedrick jerome bowers,세드릭,Cedrick Jerome Bowers
Chad Bell,https://www.baseball-reference.com/register/player.fcgi?id=bell--005cha,chad bell,,
,,chadwick micah bell,채드벨,Chadwick Micah Bell
,,chae wool park,박채울,Chae-wool Park
,,chan beom park,박찬범,Chan-Beom Park
Chan Gun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---017cha,chan gun lee,,
Chan-gwan Cho,https://www.baseball-reference.com/register/player.fcgi?id=cho---000cha,chan gwan cho,,
,,chan gyun kim,김찬균,Chan-Gyun Kim
,,chan hee park,박찬희,Chan-Hee Park
,,chan ho ahn,안찬호,Chan-Ho An
Chan-hyeop Pak,https://www.baseball-reference.com/register/player.fcgi?id=pak---000cha,chan hyeop park,,
,,chan hyub park,박찬협,Chan-Hyub Park
,,chan jong moon,문찬종,Chan-Jong Moon
,,chan keon lee,이찬건,Chan-Keon Lee
,,chan ki lee,이찬기,Chan-Gi Lee
,,chan kwan cho,조찬관,Chan-Kwan Cho
,,chan min kim,김찬민,Chan-Min Kim
Chan Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--002cha,chan moon,,
,,chan seob lee,이창섭,Chan-Seob Lee
,,chan suk lee,이찬석,Chan-Suk Lee
Chan-uk Chou,https://www.baseball-reference.com/register/player.fcgi?id=chou--001cha,chan uk choi,,
,,chan wook choi,최찬욱,Chan-Wook Choi
,,chan yeup noh,노찬엽,Chan-Yeup Noh
Chan Yub Roh,https://www.baseball-reference.com/register/player.fcgi?id=no----000cha,chan yub noh,,
,,chang  yang choi,최창양,Chang- Yang Choi
Chang Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--001cha,chang choi,,
Chang Hee Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000cha,chang hee kim,,
,,chang hee shin,신창희,Chang-Hee Shin
,,chang hei kim,김창희,Chang-Hei Kim
,,chang ho ahn,안창호,Chang-Ho An
,,chang ho lee,이창호,Chang-Ho Lee
,,chang hoon joo,주창훈,Chang-Hoon Joo
Chang-Hun Choo,https://www.baseball-reference.com/register/player.fcgi?id=ju----000cha,chang hun choo,,
,,chang hwan moon,문창환,Chang-Hwan Moon
,,chang hyeon song,송창현,Chang-Hyeon Song
,,chang joo kang,강창주,Chang-Ju Kang
Chang Min Jeon,https://www.baseball-reference.com/register/player.fcgi?id=jeon--000cha,chang min jeon,,
Chang Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--001cha,chang moon,,
Chang Seob Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---007cha,chang seob lee,,
,,chang yeop lee,이창엽,Chang-Yeop Lee
,,chang yeoul lee,이창율,Chang-Yeoul Lee
,,chang yong kim,김창용,Chang-yong Kim
,,charles carpenter,카펜터,Charles Carpenter
,,charles edward smith,스미스,Charles Edward Smith
,,charles j. shirek,찰리,Charles J. Shirek
,,charles larry justin lehr,레이어,Charles Larry Justin Lehr
Charles Shirek,https://www.baseball-reference.com/register/player.fcgi?id=shirek001cha,charles shirek,,
,,cheol eon shin,신철언,Cheol-Eon Shin
Cheol-hyi Pak,https://www.baseball-reference.com/register/player.fcgi?id=pak---001che,cheol hyi park,,
,,cheon soo choi,최천수,Cheon-Soo Choi
Chi-ho Ha,https://www.baseball-reference.com/register/player.fcgi?id=ha----000chi,chi ho ha,,
Chil-sung Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001chi,chil sung park,,
,,chilsung park,박칠성,Chilsung Park
,,choi seol woo,최설우,Choi Seol-Woo
,,chol min lee,이철민,Chol-Min Lee
,,choong hee han,한충희,Choong-Hee Han
Chris Bootcheck,https://www.baseball-reference.com/register/player.fcgi?id=bootch001chr,chris bootcheck,,
Chris Volstad,https://www.baseball-reference.com/register/player.fcgi?id=volsta001chr,chris volstad,,
Christian Friedrich,https://www.baseball-reference.com/register/player.fcgi?id=friedr001chr,christian friedrich,,
,,christian louis patrick friedrich,프리드릭,Christian Louis Patrick Friedrich
,,christopher brandon bootcheck,부첵,Christopher Brandon Bootcheck
,,christopher john nitkowski,니코스키,Christopher John Nitkowski
,,christopher kenneth volstad,볼스테드,Christopher Kenneth Volstad
Chuck Smith,https://www.baseball-reference.com/register/player.fcgi?id=smith-009cha,chuck smith,,
,,chul hee park,박철희,Chul-Hee Park
,,chul min hyun,현철민,Chul-Min Hyun
,,chung hyun lee,이청현,Chung-Hyun Lee
Chung Myoung Yook,https://www.baseball-reference.com/register/player.fcgi?id=yook--000chu,chung myoung yook,,
,,chung myung yook,육청명,Chung-myung Yuk
,,chung yeol cho,조충열,Chung-Yeol Cho
Chung-yeol Chou,https://www.baseball-reference.com/register/player.fcgi?id=chou--000chu,chung yeol choi,,
Cliff Brumbaugh,https://www.baseball-reference.com/register/player.fcgi?id=brumba001cli,cliff brumbaugh,,
,,clifford michael brumbaugh,브룸바,Clifford Michael Brumbaugh
Collin Balester,https://www.baseball-reference.com/register/player.fcgi?id=balest001col,collin balester,,
,,collin thomas balester,벨레스터,Collin Thomas Balester
Cory Aldridge,https://www.baseball-reference.com/register/player.fcgi?id=aldrid001cor,cory aldridge,,
,,cory jerome aldridge,알드리지,Cory Jerome Aldridge
Cory Riordan,https://www.baseball-reference.com/register/player.fcgi?id=riorda001cor,cory riordan,,
,,cory s. riordan,리오단,Cory S. Riordan
D.J. Houlton,https://www.baseball-reference.com/register/player.fcgi?id=houlto001den,d.j. houlton,,
,,da huin jeong,정다흰,Da-Huin Jeong
,,dae gyeom han,한대겸,Dae-Gyeom Han
,,dae han jang,장대한,Dae-han Jang
,,dae hwa han,한대화,Dae-Hwa Han
,,dae hyeok jeong,정대혁,Dae-Hyeok Jung
,,dae hyeon jeong,정대현,Dae-Hyeon Jeong
,,dae ik kim,김대익,Dae-Ik Kim
,,dae myung park,박대명,Dae-Myung Park
Dae-un Paek,https://www.baseball-reference.com/register/player.fcgi?id=paek--000dae,dae un baek,,
Dae-ung Pae,https://www.baseball-reference.com/register/player.fcgi?id=pae---000dae,dae ung bae,,
Dae Won Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--000dae,dae won moon,,
