name_eng_x,date_of_birth,url_x,name_new,name_kor,name_eng_y,url_y
,2005-02-19,,dae hyeon cho,조대현,Dae-hyun Jo,https://statiz.sporki.com/player/?m=playerinfo&p_no=16077
,1998-01-13,,dae hyeon kim,김대현,Dae-Hyeon Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14883
,2003-11-15,,dae hyeon kim,김대현,Dae-Hyun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=16104
,1994-01-24,,dae kyeom han,한대겸,Dae-Gyeom Han,https://statiz.sporki.com/player/?m=playerinfo&p_no=13226
,2002-04-22,,dae myeong park,박대명,Dae-Myung Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=14821
,1985-04-26,,dae won yang,양대원,Dae-Won Yang,https://statiz.sporki.com/player/?m=playerinfo&p_no=10829
,1983-06-13,,dae yoo kim,김대유,Dae-Yoo Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=10426
,1992-11-06,,dal hwan kim,김달환,Dal-Hwan Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=13231
,2001-01-05,,dan woo	 kim,김단우,Dan-Woo	 Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14841
,1998-01-05,,deok hyeon jeong,정덕현,Deok-Hyun Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=12607
,2003-03-07,,do hoon kang,강도훈,Do-Hoon Kang,https://statiz.sporki.com/player/?m=playerinfo&p_no=15041
,1990-02-23,,do hwan kim,김도환,Do-Hwan Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=13188
,1999-09-10,,do hwan kim,김도환,Do-Hwan Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14672
,1997-10-09,,do hyeok lim,임도혁,Do-Hyuk Lim,https://statiz.sporki.com/player/?m=playerinfo&p_no=12576
,2003-05-24,,do hyeon kim,김도현,Do-Hyun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=15025
,1995-04-11,,do hyeon lee,이도현,Do-Hyun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13252
,2005-01-07,,do hyeon lee,이도현,Do-Hyun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=15437
,1997-07-19,,do kyeong kim,김도경,Do-Kyung Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14886
,1999-11-23,,do ryeol baek,백도렬,Do-Ryeol Baek,https://statiz.sporki.com/player/?m=playerinfo&p_no=15062
,2004-04-03,,do wol kim,김도월,Do-Wol Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=15439
,1995-12-22,,do won ahn,안도원,Do-Won Ahn,https://statiz.sporki.com/player/?m=playerinfo&p_no=13258
,2001-04-03,,do woong jeong,정도웅,Do-Woong Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=14628
,1986-01-17,,do yoon lee,이도윤,Do-Yoon Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13280
,2005-02-17,,do yun kim,김도윤,Do-yun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=16021
,1991-11-07,,dong bin kim,김동빈,Dong-Bin Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=10549
,1999-04-12,,dong chan kim,김동찬,Dong-Chan Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=13257
,1993-06-18,,dong hoon han,한동훈,Dong-Hoon Han,https://statiz.sporki.com/player/?m=playerinfo&p_no=10799
,2000-11-23,,dong hoon kang,강동훈,Dong-hoon Kang,https://statiz.sporki.com/player/?m=playerinfo&p_no=16080
,1992-06-27,,dong hoon lee,이동훈,Dong-hun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=10899
,2003-03-20,,dong hyeok kwon,권동혁,Dong-Hyeok Kwon,https://statiz.sporki.com/player/?m=playerinfo&p_no=15490
,2000-03-25,,dong hyeok park,박동혁,Dong-Hyuk Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=14700
,1984-04-16,,dong hyeon cho,조동현,Dong-Hyeon Cho,https://statiz.sporki.com/player/?m=playerinfo&p_no=10073
,2001-05-25,,dong hyeon kim,김동현,DONG-HYUN KIM,https://statiz.sporki.com/player/?m=playerinfo&p_no=15874
,2001-08-12,,dong hyeon kwon,권동현,Dong-hyun Kwon,https://statiz.sporki.com/player/?m=playerinfo&p_no=14814
,1999-12-07,,dong hyeong kang,강동형,Dong-Hyeong Kang,https://statiz.sporki.com/player/?m=playerinfo&p_no=15106
,2003-07-26,,dong hyi choi,최동희,Dong-Hee Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=15094
,1985-04-08,,dong il yang,양동일,Dong-Yil Yang,https://statiz.sporki.com/player/?m=playerinfo&p_no=10057
,2002-09-04,,dong jun kim,김동준,Dong-Jun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=15100
,1993-09-23,,dong keon lee,이동건,Dong-Geon Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=14887
