name_kor,name_eng
김주철,Ju-Chul Kim 
안희봉,Hee-Bong An
젠슨,Martin Janzen
서용주,Yong-Joo Seo
유승룡,Seung-ryong Yoo
박정규,Jung-Kyu Park
송산,San Song
고우석,Woo-Suk Go
박효일,Hyo-il Park
박진영,Jin-Yeong Park
박세준,Seo-Jun Park
박서준,Seo-Jun Park
권희석,Hei-Sug Kwon
김종훈,Jong-Hun Kim
유휘봉,Hwi-Bong Yoo 
차정민,Jung-Min Cha
차명진,Myeoung-Jin Cha
정성철,Sung-Chul Jung
전은석,Eun-Seok Jeon
이효상,Hyo-Sang Lee
이정훈,Jeong-Hun Lee
이영수,Young-Soo Lee
이상화,Sang-Hwa Lee
윤민섭,Min-Seob Yoon
유재혁,Jae-Hyeok Yu
황정립,Jeong-Lip Hwang
이현곤,Hyun-Gon Lee
김형철,Hyeong-Cheol Kim
손영민,Young-Min Son
조태수,Tae-Su Cho
조민철,Min-Chul Cho
이재주,Jae-Ju Lee
장문석,Mun-Seok Jang
강철민,Cheol-Min Kang
고영창,Young-Chang Ko
김태훈,Tae-Hun Kim
장정석,Jeong-Seok Jang
김인철,In-Chul Kim
오준형,Jun-Hyeong Oh
장태성,Tae-Sung Jang
문수호,Su-Ho Moon
오두철,Du-Cheol Oh
장준영,Jun-Young Jang 
김영광,Young-Kwang Kim
박찬,Chan Park
방동민,Dong-Min Bang 
류현철,Hyeon-Cheol Ryu
신용운,Yong-Woon Shin
로드리게스,Ricardo Rodriguez
펨버튼,Rudy Hector Pemberton
구톰슨,Rick Lee Guttormson
박기철,Ki-Cheol Park
현철민,Chul-Min Hyun
윤효섭,Hyo-Seop Yoon
키퍼,Mark Kiefer
뉴선,Warren Newson
이경원,Kyung-Won Lee
양동일,Dong-Yil Yang
김경탁,Kyeong-Tak Kim
최준식,Jun-Sik Choi
조동현,Dong-Hyeon Cho
리오스,Daniel Danny Rios
이경록,Kyeong-Rok Lee 
한동훈,Dong-Hoon Han
이제우,Je-Woo Lee
이동훈,Dong-Hoon Lee
윤민호,Min-ho Yoon
변강득,Kang-Deuk Byun
한성구,Sung-Gu Han
조태진,Tae-Jin Cho
김진우,Jin-Woo Kim
김종문,Jong-Mun Kim
이두환,Doo-Hwan Lee
라미레즈,Horacio Ramirez
김주호,Ju-Ho Kim
서동욱,Dong-Wook Seo
엄정대,Jung-Dae Um
황윤성,Yoon-Sung Hwang
차일목,Il-Mok Cha
허준,Jun Heo
임준혁,Jun-Hyeok Lim
진필중,Pil-Jung Jin
최용호,Yong-Ho Choi
존슨,Mike Johnson
이정상,Jung-Sang Lee
김원섭,Won-Seop Kim
박재홍,Jae-Hong Park
최동락,Dong-Rak Choi
이동현,Dong-Hyun Lee
김주형,Ju-Hyeong Kim
심재학,Jae-Hak Sim
조규제,Kyu-Je Cho
박근홍,Geun-Hong Park
손지환,Ji-Hwan Son
박강우,Kang-Woo Park 
마해영,Hae-Young Ma
김성계,Sung-Gye Kim
마뇽,Julio Manon
김주용,Ju-Yong Kim
최훈락,Hoon-Rak Choi
윤석민,Suk-Min Yoon
전병두,Byung-Doo Jeon
주창훈,Chang-Hoon Joo
진해수,Hae-Soo Jin
이범석,Beom-Seok Lee
백정훈,Jung-Hoon Baek 
김건한,Geon-Han Kim
김성호,Sung-Ho Kim
임성민,Sung-Min Lim
블랭크,Matt Blank
그레이싱어,Seth Adam Greisinger
곽정철,Jung-Cheol Kwak
박경태,Kyung-Tae Park
한규식,Kyu-Sik Han
한기주,Gi-Ju Han
백승훈,Seung-Hoon Baek
서브넥,Michael Serveneck
스캇,Scott Seabol
조경환,Kyung-Hwan Cho
손상정,Sang-Jung Son
류은재,Eun-Jae Ryu
이강서,Kang-Seo Lee
김연훈,Yeon-Hoon Kim
최희섭,Hee-Seop Choi
권윤민,Yoon-Min Kwon
이호신,Ho-Shin Lee
서튼,Larry James Sutton
로드리게스,Félix Antonio Rodríguez
양현종,Hyeon-Jong Yang
이준수,Jun-Soo Lee
에서튼,Seth Michael Etherton
스코비,Jason Hall Scobie
나지완,Ji-Wahn Na
강동우,Dong-Woo Kang
김선빈,Sun-Bin Kim
유용목,Yong-Mok Yoo 
안재만,Jae-Man An
리마,José Desiderio Rodríguez Lima
채종범,Jong-Beom Chae
이성우,Seong-Woo Lee
서재응,Jae-Eung Seo
발데스,Wilson Antonio Valdez
데이비스,Kane Davis
전우엽,Woo-Yeop Jeon 
최경환,Kyeong-Hwan Choi
정민태,Min-Tae Chung
디아즈,Felix Antonio Diaz
최용규,Yong-Gyu Choi
김주현,Joo-Hyun Kim
이명환,Myeong-Hwan Lee
신종길,Jong-Gil Shin
손정훈,Jung-Hun Son
안치홍,Chi-Hong An
정용운,Yong-Woon Jung
김영수,Young-Soo Kim
로페즈,Aquilino Lopez
박기남,Gi-Nam Park
박상혁,Sang-Hyuk Park
이종환,Jong-Hwan Lee
안영명,Yeong-Myeong Ahn
홍재호,Jae-Ho Hong
김다원,Da-Won Kim
임기준,Gi-Jun Lim
심동섭,Dong-Sub Sim
박성호,Sung-Ho Park
라이트,Matt Wright
임한용,Han-Yong Lim
최병연,Byeong-Yeon Choi
이준호,Jun-Ho Lee
콜론,Román benedicto Colón
이범호,Beom-Ho Lee
홍건희,Geon-Hui Hong
윤정우,Jeong-U Yoon
정상교,Sang-Kyo Jeong
박종섭,Jong-Seop Park
우병걸,Byunggeol Woo
트레비스,Travis Jarrod Blackley
김윤동,Yun-Dong Kim
임준섭,Joon-Seop Lim
조영훈,Yeong-Hun Cho
박지훈,Ji-Hoon Park
앤서니,Anthony Allen Lerew
박승민,Seung-Min Park
홍성민,Sung-Min Hong
한승혁,Seung-Hyeok Han
윤해진,Hae-Jin Yun
신창호,Chang-Ho Shin
소사,Henry Sosa
장시하,Si-Ha Jang
김주찬,Joo-Chan Kim
손동욱,Dong-Wook Son
강귀태,Gui-Tae Kang
신승현,Seung-Hyeon Shin
이대환,Dae-Hwan Lee
이홍구,Hong-Gu Lee
고장혁,Jang-Hyuk Ko
박준표,Joon-Pyo Park
백용환,Yong-Hwan Baek
빌로우,Duane Arthur Below
송은범,Eun-Beom Song
이재율,Jae-Yul Lee
황수현,Soo-Hyeon Hwang
김광연,Kwang-Yeon Kim
김민우,Min-Woo Kim
강한울,Han-Wool Kang
김준,Jun Kim
최영필,Yeong-Pil Choi
김태영,Tae-Yeoung Kim
김지훈,Ji-Hun Kim
어센시오,Jairo Manuel Asencio
김병현,Byeong-Hyeon Kim
박찬호,Chan-Ho Park
이대형,Dae-Hyeong Lee
박준태,Jun-Tae Park
토마스,Justin Joseph Thomas
홀튼,Dennis Sean D. J. Houlton Jr.
필,Brett Michael Pill
최현정,Hyeon-Jeong Choi
백세웅,Se-woong Baek
박진두,Jin-Doo Park
황대인,Dae-In Hwang
김광수,Kwang-Soo Kim
이민우,Min-Woo Lee
박동민,Dong-Min Park
황인준,In-Jun Hwang
박정우,Jeong-Woo Park
에반,Evan David Meek
박정수,Jung-Su Park
문경찬,Gyeong-Chan Moon
유창식,Chang-Sik Yu
오준혁,Jun-Hyeok Oh
김호령,Ho-Ryeong Kim
스틴슨,Joshua Randall Stinson
험버,Philip Gregory Humber
이종석,Jong-Seok Lee
이준영,Jun-Yeong Lee
이인행,In-Haeng Lee
이은총,Eun-Chong Lee
전현태,Hyun-Tae Jeon
김명찬,Myeong-Chan Kim
노수광,Soo-Gwang Noh
최원준,Won-Jun Choi
남하준,Ha-Joon Nam
김규성,Kyu-Sung Kim
류승현,Seung-Hyun Ryu
유근상,Geun-sang Yoo
김성민,Seong-min Kim
지크,Ezekiel Stephen Zeke Spruill
김현준,Hyun-Jun Kim
이승우,Seung-Woo Lee
고효준,Hyo-Jun Ko
배힘찬,Him-Chan Bae
한승택,Seung-Taek Han
헥터,Hector Noesi
이진영,Jin-Young Lee
정동현,Dong-Hyun Jeong
신범수,Beom-Soo Shin
서덕원,Deok-Won Seo
전상현,Sang-Hyun Jeon
강이준,Yi-Jun Kang
김지성,Ji-Seong Kim
송후섭,Hoo-Seob Song
김석환,Seok-Hwan Kim
최승주,Seung-Ju Choi
최정민,Jung-Min Choi
유재신,Jae-Shin Yoo
이명기,Myung-Ki Lee
김민식,Min-Sik Kim
최형우,Hyung-Woo Choi
임기영,Gi-Yeong Im
유승철,Seung-Chul Yoo
팻딘,Patrick Michael Dean
박진태,Jin-Tae Park
김세현,Se-Hyeon Kim
버나디나,Roger Bernadina
노관현,Kwan-Hyun Noh
김용인,Yong-in Kim
정윤환,Yun-Hwan Jung
이진경,Jin-Kyung Lee
오상엽,Sang-Yeop Oh
이창진,Chang-Jin Lee
오정환,Jeong-Hwan Oh
황윤호,Yun-Ho Hwang
김승범,Seung-Beom Kim
백미카엘,Michael Baek
문장은,Jang-Eun Moon
윤중현,Joong-Hyun Yoon
이윤학,Yun-Hak Lee
박희주,Hee-Joo Park
권유식,Yoo-sik Kwon
신제왕,Je-Wang Shin
유민상,Min-Sang Yoo
하준영,Jun-Young Ha
한준수,Jun-Soo Han
김유신,Yoo-Shin Kim
윤희영,Hee-Young Yoon
이영욱,Young-Wook Lee
이원빈,Won-Bin Lee
민경남,Kyung-Nam Min
이우성,Woo-Sung Lee
해즐베이커,Jeremy Hazelbaker
김기훈,Ki-Hoon Kim
이태규,Tae-Gyu Lee
김민수,Min-su Kim
문선재,Seon-Jae Moon
김창용,Chang-yong Kim
이호현,Ho-Hyun Lee
나용기,Yong-Gi Na 
박수용,Su-Yong Park
터너,Jacob Edward Turner
최정용,Jeong-Yong Choi
홍원빈,Won-bin Hong
장지수,Ji-Soo Jang
양승철,Seung-Cheol Yang
터커,Preston Michael Tucker
윌랜드,Joseph Andrew Wieland
오선우,Sun-Woo Oh
홍종표,Jong-Pyo Hong
유지성,Ji-Sung Yoo
나주환,Ju-Hwan Na
류지혁,Ji-Hyeok Ryu
이인한,In-Han Lee
김양수,Yang-soo Kim
김태진,Tae-Jin Kim
홍상삼,Sang-Sam Hong
오규석,Kyu-Seok Oh
백현종,Hyun-jong Baek
장현식,Hyeon-Sik Jang
브룩스,Aaron Lee Brooks
강민수,Min-Soo Kang
가뇽,Andrew M. Drew Gagnon
장재혁,Jae-Hyeok Jang
변시원,Si-Won Byun
최용준,Yong-Jun Choi 
김현수,Hyun-Soo Kim
장영석,Young-Seok Jang
박민,Min Park 
정해영,Hae-Young Jung
김영환,Yeong-Hwan Kim
김재열,Jae-Yeol Kim 
장시현,Si-Hyeon Jang
강경학,Gyeong-Hak Kang
김연준,Yeon-Jun Kim 
이준범,Jun-Beom Lee
이준형,Jun-Hyeong Lee
멩덴,Daniel Joseph Mengden
박대명,Dae-Myung Park
이영재,Young-Jae Lee 
다카하시,Rodrigo Hitoshi Bo Takahashi
권혁경,Hyuk-Kyung Kwon
김선우,Seon-Woo Kim
박건우,Geon-Woo Park
이의리,Eui-Lee Lee
장민기,Min-Gi Jang
김원경,Won-kyung Kim
이승재,Seung-Jae Lee
이동건,Dong-Geon Lee 
김도영,Do-Yeong Kim
박동원,Dong-Won Park
김도현,Do-Hyun Kim
김사윤,Sa-Yun Kim
임석진,Suck-Jin Lim
한승연,Seung-Yeon Han 
옥준호,Jun-ho Ok
소크라테스,Sócrates Orel Brito
윤민석,Min-seok Yoon 
박상준,Sang-Jun Park 
놀린,Sean Patrick Nolin
최지민,Ji-Min Choi
황동하,Dong-ha Hwang 
신명승,Myeong-Seung Shin
로니,Ronnie Ellis Williams
파노니,Thomas Edward Pannone Jr
이성주,Seong-Ju Lee
나성범,Sung-Beom Na
손진규,Jin-Gyu son 
백도렬,Do-Ryeol Baek 
고종욱,Jong-Wook Ko
강병우,Byung-Woo Kang
김찬민,Chan-Min Kim
윤도현,Do-Hyun Yoon 
박승훈,Park Seunghoon
이중석,Lee Jung-Seok
손호원,Son Ho Won
배현호,Hyun-Ho Bae
곽도규,Do-Gyu Gwak
김용완,Yong-Wahn Kim
윤영철,Young-Cheol Yoon
최수빈,Su-bin Choi
이도현,Do-Hyun Lee
김도월,Do-Wol Kim
김재현,Jae-Hyun Kim
주효상,Hyo-Sang Joo
김승현,Seung-Hyun Kim
김주섭,Joo-Sub Kim
박일훈,Il-Hoon Park
변우혁,Woo-Hyuk Byun
김태군,Tae-Kun Kim
김건국,Keon-Guk Kim
메디나,Adonis Medina
정해원,Hae-Won Jung
이송찬,Song-Chan Lee
앤더슨,Shaun Anderson
산체스,Mario Sanchez
김대유,Dae-Yu Kim
스타우트,Eric Stout
고명성,Myeong-Seong Ko
김두현,Doo-hyun Kim
크로우,William Chandler Crowe
박시온,Park Sion
김민재,Min-jae Kim
김태윤,Tae-yun Kim
이형범,Hyung-Beom Lee
강동훈,Dong-hoon Kang
최지웅,Ji-woong Choi
강민제,Min-je Kang
성영탁,Yeong-tak Sung
네일,James Aubrey Naile
이상준,Sang-jun Lee
김민주,Min-ju Kim
서건창,Geon-Chang Seo
예진원,Jin-Won Ye
알드레드,Cam Alldred
라우어,Eric Lauer
조대현,Dae-hyun Jo
박정환,Jung-Hwan Park
황규봉,Kyu-Bong Hwang
손상득,Sang-Deuk Son
배대웅,Dae-Woong Bae
장태수,Tae-Soo Jang
천보성,Bo-sung Chun
정구왕,Gu-Wang Jung
허규옥,Kyu-Ok Heo
박영진,Young-Jin Park
함학수,Hak-Soo Ham
성낙수,Nak-Soo Sung
오대석,Dae-Seok Oh
송진호,Jin-Ho Song
김휘욱,Hwi-Wook Kim
정현발,Hyun-Bal Jung
이만수,Man-Soo Lee
이선희,Sun-Hee Lee
권영호,Young-Ho Kwon
김한근,Han-Geun Kim
손상대,Sang-Dae Son
임신근,Shin-Geun Im
우용득,Yong-Deuk Woo
정진호,Jin-Ho Jung
양일환,Il-Hwan Yang
장효조,Hyo-Jo Jang
김근석,Geun-Seok Kim
황병일,Byeong-Il Hwang
박동경,Dong-Kyung Park
박승호,Seung-Ho Park
김동재,Dong-Jae Kim
홍승규,Seung-Kyu Hong
김시진,Si-Jin Kim
김성래,Sung-Rae Kim
진동한,Dong-Han Jin
송일수,Il-Soo Song 
김이수,Yi-Soo Kim
김일융,Il-Yung Kim
전용권,Yong-Kwon Jeon
권기홍,Ki-Hong Kwon
송상진,Sang-Jin Song
김용국,Yong-Gook Kim
김성갑,Sung-Gap Kim
이해창,Hae-Chang Lee
홍순호,Soon-Ho Hong
이종두,Jong-Doo Lee
김준희,Jun-Hee Kim
성준,Jun Sung
최무영,Moo-Young Choi
이성근,Sung-Geun Lee
구윤,Yoon Gu
김훈기,Hoon-Ki Kim
류중일,Jung-Il Ryu
김종갑,Jong-Gab Kim
김기태,Ki-Tae Kim
김성길,Sung-Gil Kim
최진영,Jin-Young Choi
이척기,Cheok-Ki Lee
정윤수,Yoon-Soo Jung
홍성연,Sung-Yeon Hong
정용생,Yong-Saeng Jung
이홍식,Hong-Sik Lee
이현택,Hyun-Taek Lee
김선훈,Sun-Hoon Kim
최해명,Hae-Myung Choi
강기웅,Ki-Woong Kang
최동원,Dong-Won Choi
이종옥,Jong-Ok Lee
오명록,Myung-Rok Oh
송광훈,Kwang-Hoon Song
김용철,Yong-Chul Kim
이문한,Moon-Han Lee
김상엽,Sang-Yup Kim
유명선,Myung-Sun Yoo
나광남,Gwang-Nam Na
이주헌,Ju-Heon Lee
박정은,Jung-Eun Park
안민석,Min-Seok An
강영수,Young-Soo Kang
김성현,Sung-Hyun Kim
강종필,Jong-Pil Kang
박용준,Yong-Jun Park
하용석,Yong-Seok Ha
정존수,Jon-Soo Jung
이상훈,Sang-Hoon Lee
김우현,Woo-Hyun Kim
이태일,Tae-Il Lee
박홍철,Hong-Chul Park
최현준,Hyun-Jun Choi
박인구,In-Gu Park
이규창,Kyu-Chang Lee
이상목,Sang-Mok Lee
정경훈,Kyung-Hoon Jung
윤용하,Yong-Ha Yoon
최일언,Il-Eon Choi
이영재,Young-Jae Lee
신경식,Kyung-Sik Shin
조범현,Beom-Hyeon Cho
윤석환,Seog-Hwan Yun
최홍석,Hong-Seok Choi
이광길,Kwang-Gil Lee
손영철,Young-Chul Son
박규대,Kyu-Dae Park
문기영,Kiyoung Moon
전상렬,Sangr-Yul  Jeon
허삼영,Sam-Young Huh
이상범,Sang-Beom Lee
박철희,Chul-Hee Park
김태한,Tae-Han Kim
김정민,Jung-Min Kim
한기철,Ki-Chul Han
박광율,Kwang-Yul Park
박종철,Jong-Cheol Park
박철수,Chul-Soo Park
강두곤,Doo-Gon Kang
이창원,Chang-Won Lee
전종진,Jong-Jin Jeon
최홍주,Hong-Ju Choi
이용철,Yong-Cheol Lee
한희민,Hei-Min Han
강태윤,Tae-Yoon Kang
김현욱,Hyun-Wook Kim
박선일,Sun-Il Park
최한경,Han-Kyung Choi
최병국,Byung-Guk Choi
최찬욱,Chan-Wook Choi
김실,Sil Kim
김태균,Tae-Kyun Kim
감병훈,Byung-Hoon Gam
최용희,Yong-Hee Choi
박종호,Jong-Ho Park
임채영,Chae-Young Im
최형현,Hyung-Hyun Choi
김한수,Han-Soo Kim
조문식,Moon-Sik Cho
김재걸,Jea-Gul Kim
최한림,Han-Rim Choi
김영진,Yeong-Jin Kim
장정순,Jung-Soon Jang
안윤호,Yoon-Ho An
윤혁,Hyuk Yoon
이승엽,Seung-Yuop Lee
이중화,Joong-Hwa Lee
차상욱,Sang-Wook Cha
김진삼,Jin-Sam Kim
박석진,Seok-Jin Park
김승관,Seung-Kwan Kim
신성필,Sung-Pil Shin
정경배,Kyoung-Bae Chung
전병호,Byung-Ho Jeon
홍광천,Kwang-Chun Hong
