name_kor,name_eng
박성훈,Sung-Hoon Park
강봉규,Bong-Kyu Kang
조현근,Hyun-Kun Jo
백준영,Jun-Young Baek
브라운,Jamie Monroe Brown
김상수,Sang-Soo Kim
김효남,Hyo-Nam Kim
차우찬,Woo-Chan Cha
강유삼,Yu-Sam Kang
양영동,Yeong-Dong Yang
강희성,Hee-Seong Kang
모상기,Sang-Ki Mo
채태인,Tae-In Chae
신명철,Myeong-Cheol Shin
곽동훈,Dong-Hoon Kwak
매존,Brian Mazone
윌슨,Kris Wilson
백정현,Jung-Hyun Baek
이동걸,Dong-Geol Lee
김동욱,Dong-Wook Kim
이여상,Yeo-Sang Lee
우동균,Dong-Gyun Woo
김경모,Kyeong-Mo Kim
김주현,Ju-Hyeon Kim
크루즈,Jacob Cruz
션,Tom Shearn
에니스,John Ennis
오버뮬러,Wes Obermuller
김우석,Woo-Seok Kim
안준형,Jun-Hyeong An
이지영,Ji-Young Lee
심광호,Gwang-Ho Sim
김건필,Geon-Pil Kim
구자운,Ja-Un Ku
최원제,Won-Je Choi
김상수,Sang-Su Kim
나이트,Brandon Knight
이우선,Woo-Seon Lee
채상병,Sang-Byung Chae
박민규,Min-Gyu Park
오정복,Jeong-Bok Oh
정형식,Hyeong-Sik Jeong
최천수,Cheon-Soo Choi
양지훈,Ji-Hun Yang
임익준,Ik-Joon Lim
김재우,Jae-Yoo Kim
안성필,Sung-Pil An
장원삼,Won-Sam Jang
레딩,Tim Redding
정인욱,In-Wook Jung
임진우,Jin-Woo Lim
정민우,Min-Woo Jung
김현우,Hyun-Woo Kim
김성훈,Seong-Hun Kim
문선엽,Sun-Yeop Moon
배영섭,Yeong-Seop Bae
김헌곤,Heon-Gon Kim
심창민,Chang-Min Sim
카도쿠라,Ken Kadokura
김종호,Jong-Ho Kim
가코,Ryan Francis Garko
저마노,Justin Germano
윤영삼,Young-Sam Yoon
임현준,Hyun-Jun Lim
김정혁,Jeong-Hyeok Kim
명재철,Jae-Cheol Myeong
구자욱,Ja-Wook Koo
탈보트,Mitch Talbot
박상원,Sang-Won Park
신용승,Yong-Seung Shin
정두산,Du-San Jeong
성의준,Ui-joon Seong
백상원,Sang-Won Baek
밴덴헐크,Rick VandenHurk
이흥련,Heung-Ryun Lee
이상훈,Sang-Hun Lee
노진용,Jin-Yong Noh
정현,Hyun Jung
박찬도,Chan-Do Park
로드리게스,Aneury Rodriguez
송준석,Jun-Suk Song
이재익,Jae-Ik Lee
박해민,Hae-Min Park
박제윤,Je-Yun Park
나바로,Yamaico Navarro
서동환,Dong-Hwan Seo
마틴,John Dale Martin
이영욱,Yeong-Wook Lee
이수민,Su-Min Lee
김희석,Hee-Suk Kim
김동호,Dong-Ho Kim
김민,Min Kim
곽병선,Byung-seon Kwak
김성한,Seong-han Kim
차화준,Hwa-Joon Cha
김영한,Young-Han Kim
클로이드,Tyler Cloyd
윤영수,Young-Su Yoon
피가로,Alfredo Figaro
최민구,Min-Gu Choi
장필준,Pil-Joon Jang
박계범,Gye-Beom Park
윤대경,Dae-Kyung Yun
최선호,Sun-Ho Choi
김민수,Min-Soo Kim
홍정우,Joung-Woo Hong
안성무,Seong-Mu Ahn
김주온,Joo-On Kim
배진호,Jin-Ho Bae
신영재,Young-Jae Shin
웹스터,Carl Allen Webster
플란데,Yohan Flande
최재원,Jae-Won Choi
이성규,Sung-Gyu Lee
김대우,Dae-Woo Kim
정광운,Gwang-Un Jeong
벨레스터,Collin Thomas Balester
이케빈,Kevin Heon-Ju Lee
레온,Arnold Leon
최충연,Chung-Yeon Choi
발디리스,Aarom Baldiris
나성용,Seong-Yong Na
권정웅,Jeong-Woong Kwon
구준범,Jun-Beom Koo
김성훈,Sung-Hoon Kim
남기효,Gi-hyo Ahn
황선도,Seon-Do Hwang
임대한,Dae-Han Lim
최주엽,Ju-Yeop Choi
최승민,Seung-min Choi
안주형,Joo-Hyung An
김결의,Gyeol-ui Kim
우규민,Kyu-Min Woo
이원석,Won-Seok Lee
최지광,Ji-Gwang Choi
레나도,Anthony Ranaudo
최영진,Yeong-Jin Choi
페트릭,Zachary Bernard Petrick
장지훈,Ji-Hun Jang
이승현,Seung-Hyun Lee
김성윤,Seong-Yun Kim
러프,Darin Ruf
최경철,Gyeong-Cheol Choi
나원탁,Won-Tak Ra
김시현,Si-Hyun Kim
김태수,Tae-Soo Kim
곽경문,Kyung-Moon Kwak
최종현,Jong-Hyun Choi
문용익,Yong-Ik Moon 
정성훈,Seong-Hoon Jeong
조현덕,Hyun-Duk Cho
김호재,Ho-Jae Kim
양창섭,Chang-Seop Yang
최채흥,Chae-Heung Choi
보니야,Lisalverto Bonilla
이성곤,Seong-Kon Lee
아델만,Timothy Max Adleman
박세웅,Se-Woong Park 
강민호,Min-Ho Kang
백승민,Seung-Min Baek
김응민,Eung-Min Kim
김용하,Yong-Ha Kim
김태우,Tae-Woo Kim
윤정빈,Jung-Bin Yoon
이태훈,Tae-Hoon Lee
서주원,Joo-Won Seo
김윤수,Yun-Su Kim
박용민,Yong-Min Park
공민규,Min-Kyu Kong
맹성주,Seong-ju Maeng
김동찬,Dong-Chan Kim
안도원,Do-Won Ahn
채상준,Sang-Jun Chae
이은형,Eun-Hyung Lee
양우현,Woo-Hyun Yang
맥과이어,William Deck McGuire
이병헌,Byung-Heon Lee
헤일리,Justin Case Haley
윌리엄슨,Johnathan Mackensey Williamson
김동엽,Dong-Yub Kim
라이블리,Bennett Lively
김도환,Do-Hwan Kim
원태인,Tae-In Won
이학주,Hak-Ju Lee
박승규,Seung-Kyu Park
봉민호,Min-Ho Bong 
김준우,Joon-Woo Kim
서장민,Jang-Min Seo
이해승,Hae-Seung Lee
김연준,Yeon-Jun Lee
뷰캐넌,David Andrew Buchanan
홍원표,Won-Pyo Hong
노건우,No Gun-Woo
황동재,Dong-Jae Hwang
허윤동,Yoon-Dong Heo
김지찬,Ji-Chan Kim
이승민,Seung-Min Lee
살라디노,Tyler Artolo Saladino
이상민,Sang-Min Lee
팔카,Daniel Bennet Palka
박주혁,Joo-Hyeok Park
김경민,Kyeong-Min Kim
정진수,Jin-Soo Jeong
신동수,Dong-Su Shin
한연욱,Yeon-Wook Han
조경원,Kyung-Won Cho
오선진,Sun-Jin Oh
몽고메리,Michael Paul Mike Montgomery
오재일,Jae-Il Oh
이재희,Jae-Hee Lee
홍무원,Moo-Won Hong
피렐라,José Manuel Pirela
오현석,Hyun-Seok Oh
주한울,Han-Wool Joo
김동진,Dong-Jin Kim
이창용,Chang-Yong Lee
홍승원,Seung-Won Hong
김세민,Se-Min Kim
이기용,Ki-Yong Lee
차동영,Dong-Young Cha
이재현,Jae-Hyeon Lee
김재혁,Jae-Hyeok Kim
김영웅,Yeong-Woong Kim
조민성,Min-Seong Jo
신정환,Jeong-Hwan Shin
김재성,Jae-Seong Kim
최하늘,Ha-Neul Choi
수아레즈,Albert Joe Suárez
김서준,Seo-Jun Kim
박정준,Jeong-Jun Park
김상민,Sang-Min Kim
윤정훈,Jung-Hoon Yoon
강도훈,Do-Hoon Kang
김재상,Jae-Sang Kim
신윤호,Yoon-Ho Shin
서현원,Hyun-Won Seo
류승민,Seung-Min Ryu
이호성,Ho-Seong Lee
와이드너,Taylor Browning Widener
강준서,Jun-Seo Kang
김시온,Si-On Kim
박권후,Kwon-Hoo Park
박시원,Si-Won Park
박진우,Jin-Woo Park
박장민,Jang-Min Park
김민호,Min-Ho Kim
디아즈,Lewin Díaz
육선엽,SUN-YEOP YOOK
양현,Hyeon Yang
맥키넌,David MacKinnon
전병우,Byung-Woo Jeon
레예스,Denyi Reyes
카데나스,Ruben Cardenas
김대호,Dae-ho Kim
임창민,Chang-Min Lim
코너,Connor Seabold
최성훈,Sung-Hoon Choi
김호진,HO-JIN KIM
김재윤,Jae-Yoon Kim
박준용,JUN-YONG PARK
정민성,MIN-SEONG JEONG
양도근,DO-GEUN YANG
유병선,BYUNG-SUN RYU
신경민,KYOUNG-MIN SHIN
이현준,HYEON-JUN LEE
이재호,JAE-HO LEE
김성경,SUNG-KYEUNG KIM
김동현,DONG-HYUN KIM
김재형,JAE-HYUNG KIM
김진홍,Jin-Hong Kim
김우열,Woo-Yeol Kim
김광수,Kwang-soo Kim
유지훤,Ji-Hwon Yoo
이근식,Keun-Sik Lee
김유동,Yu-Dong Kim
박상열,Sang-Yeol Park
윤동균,Dong-kyun Yoon
계형철,Hyeong-Cheol Kye
정종현,Jong-Hyeon Jeong
이홍범,Hong-Beom Lee
황태환,Tae-Hwan Hwang
양세종,Se-jong Yang
정혁진,Hyeok-Jin Jeong
김현홍,Hyun-Hong Kim
구천서,Chun-Seo Gu
박철순,Cheol-Sun Park
김경문,Kyeong-Mun Kim
강철원,Cheol-Won Kang
구재서,Jae-Seo Koo
이근식,Keun-Sig Lee
선우대영,Dae-Yeong SenYu
박종훈,Jong-Hoon Park
정선두,Sun-Doo Jung 
장호연,Ho-Yeon Jang
이삼열,Sam-Yeol Lee
홍신차,Shin-Cha Hong
김진욱,Jin-Wook Kim
김광림,Gwang-Lim Kim
한오종,Oh-Jong Han
김명구,Myung-Gu Kim
홍희섭,Hui-Sup Hong
박해종,Hae-Jong Park
김성호,Seong-Ho Kim
사인상,In-Sang Sa
배원영,Won-Young Bae
김대진,Dae-Jin Kim
조호,Ho Cho
이종도,Jong-Do Lee
박기수,Ki-Soo Park
이승희,Seung-Hee Lee
탁재원,Jae-Won Tak
김영신,Young-Shin Kim
김호근,Ho-Geun Kim
박창언,Chang-Eon Park
감사용,Sa-Yong Kam
박형열,Hyung-Yeol Park
정문섭,Mun-Seop Jung
임채섭,Chae-Seop Lim
최동창,Dong-Chang Choi
이복근,Bok-Geun Lee
도이석,Yi-Seok Doh
박칠성,Chilsung Park
기세봉,Se-Bong Ki 
안대환,Dae-Hwan An
김경남,Kyung-Nam Kim
김강익,Kang-Ik Kim
최규순,Gyu-Soon Choi 
송재박,Jae-Park Song
김용희,Yong-Hee Kim
길홍규,Hong-Gyu Gil
서일권,Il-Gwon Seo
정삼룡,Sam-Ryong Jung
하창우,Chang-Woo Ha
김영균,Young-Kyun Kim
김원식,Won-Sik Kim
강규성,Gyu-Seong Kang
조진구,Jin-Gu Cho
홍길남,Gil-Nam Hong
송명철,Myung-Chul Song
이명수,Myong-Soo Lee
곽연수,Yeon-Su Kwak
김종석,Jong-Seok Kim
김동현,Dong-Hyun Kim
김보선,Bo-Sun Kim
이진,Jin Lee 
김진규,Jin-Kyu Kim
구동우,Dong-Woo Gu
김형균,Hyung-Gyun Kim
김만조,Man-Jo Kim
강형석,Hyung-Seok Kang
임형석,Hyung-Seok Lim
최치용,Chi-Yong Choi
정재호,Jae-Ho Jung
서준룡,Jun-Ryong Seo 
최덕현,Deok-Hyun Choi
손병희,Byung-Hee Son
김상호,Sang-Ho Kim
노석기,Seok-Gi Noh
조정수,Jung-Su Cho
권영구,Young-Gu Kwon
김태형,Tae-Hyeong Kim
이종민,Jong-Min Lee
한명수,Myeong-Soo Han 
김익재,Ik-Jae Kim
강병규,Byung-Kyu Kang
최영술,Young-Sool Choi
이전진,Jeon-Jin Lee
권영일,Young-Il Kwon
최재룡,Jae-Ryong Choi
조중석,Joong-Seok Cho
박천유,Cheon-Yoo Park
안경현,Kyung-Hyun An
이상현,Sang-Hyun Lee
장원진,Won-Jin Jang
고원부,Won-Bu Ko
소상영,Sang-Young So
조경택,Kyeong-Taek Cho
김종성,Jong-Sung Kim
황일권,Il-Kwon Hwang
박상근,Sang-Geun Park
김경원,Kyung-Won Kim
조영상,Young-Sang Cho
추성건,Sung-Geon Chu
이용호,Young-Ho Lee
한태균,Tae-Kyun Han
이도형,Do-Hyung Lee
홍우태,Woo-Tai Hong
류택현,Taek-Hyun Ryu
나영철,Young-Chul Na
윤기수,Ki-soo Yoon
함석원,Seok-Won Ham
조연제,Yeon-Je Cho
김명호,Myung-Ho Kim
박종무,Jong-Moo Park
길랑균,Lang-Gyun Gil
김정규,Jung-Kyu Kim
공유선,Yu-Sun Gong
마원성,Won-Seong Ma
정수근,Soo-Keun Jung
여준홍,Jun-Hong Yeo
서석영,Seok-Young Seo
김유봉,Yu-Bong Kim
송재용,Jae-Yong Song
전형도,Hyung-Do Jeon
이보형,Bo-Hyung Lee
박찬협,Chan-Hyub Park
한명윤,Myung-Yoon Han
박석안,Seok-An Park
최기문,Ki-Moon Choi
박명환,Myung-Hwan Park
문희성,Hee-Sung Moon
이경필,Kyung-Pil Lee
강규철,Kyu-Chul Kang
박상현,Sang-Hyun Park
김환조,Hwan-Jo Kim
강신창,Shin-Chang Kang
김도균,Do-kyun Kim
김도형,Do-Hyung Kim
김윤일,Yoon-Il Kim
캐세레스,Edgar Caceres
김동주,Dong-Joo Kim
우즈,Tyrone Woods
윤상무,Sang-Moo Yoon
조은진,Eun-Jin Cho 
이혜천,Hye-Chun Lee
오세학,Se-Hak Oh
김성균,Sung-Kyun Kim
강혁,Hyuk Kang
홍원기,Won-Ki Hong
차명주,Myung-Ju Cha
홍성흔,Seong-Heun Hong
장성진,Sung-Jin Jang
강길용,Gil-Yong Kang
이경수,Kyung-Soo Lee
파머,Mike Farmer
박보현,Bo-Hyun Park
정원석,Won-Seok Jeong
정진용,Jin-Yong Jung
최경훈,Kyung-Hoon Choi
이대현,Dae-Hyun Lee
유필선,Pil-Sun Yoo
베넷,Shayne Bennett
콜,Victor Cole
이재우,Jae-Woo Lee
김덕용,Duk-Yong Kim
장인규,In-Kyu Jang
송원국,Won-Guk Song
김태구,Tae-Gu Kim
니일,Troy Lee Neel
김동길,Dong-Gil Kim
김준호,Jun-Ho Kim 
이민택,Min-Taek Lee
김강,Kang Kim
오성민,Sung-Min Oh
원용묵,Yong-Muk Won
강인권,In-Kwon Kang
고영민,Yeong-Min Ko
천상웅,Sang-Ung Cheon
이재영,Jae-Young Lee
유재웅,Jae-Woong Yu
니코스키,Christopher John Nitkowski
김명제,Myeong-Jae Kim
이석만,Seok-Man Lee
왈론드,Leslie Dale Walrond
핸킨스,Derek James Hankins
세데뇨,Juan Cedeño
프록터,Scott Christopher Proctor
김경태,Kyung-Tae Kim	
윤요한,Yo-han Yoon
최형록,Hyeong-rok Choi
윤태수,Tae-Soo Yoon
이경환,Kyung-Hwan Lee
한주성,Joo-Seong Han
장우람,Woo-Ram Jang
배상현,Sang-Hyun Bae
이현호,Hyeon-Ho Lee
이승학,Seung-Hak Lee
신동규,Dong-Kyu Shin
김경호,Gyeong-Ho Kim
황덕균,Deok-Gyun Hwang
천영웅,Young-Ung Cheon
박민정,Min-Jeong Park
송주영,Joo-Young Song
김학재,Hak-Jae Kim
이정민,Jeong-Min Lee 
이현민,Hyun-Min Lee
권영준,Young-Jun Kwon
김현민,Hyun-Min Kim
강화영,Hwa-Yeong Kang
여승철,Yeo Seung-cheol
김승회,Seung-Hoi Kim
노경은,Kyeong-Eun Noh
손시헌,Si-Heon Son
김성배,Sung-Bae Kim
이리키,Satohshi Iriki
정종수,Jong-Soo Jung
쿨바,Mike Coolbaugh
정재훈,Jae-Hoon Jung
백대운,Dae-Woon Beak
이승준,Seung-Jun Lee
김혜겸,Hye-Kyeom Kim
김무학,Moo-Hak Kim
방승재,Seung-Jae Bang
김재호,Jae-Ho Kim
윤석민,Seok-Min Yoon
이경민,Kyung-Min Lee
용덕한,Deok-Han Yong
알칸트라,Israel Alcantara
윤재국,Jae-Guk Yoon
홍마태,Ma-Tae Hong
구명환,Myeong-Hwan Gu
이원희,Won-Hee Lee
김수훈,Soo-Hoon Kim
강관식,Kwan-Sik Kang
랜들,Matt Randel
박정배,Jung-Bae Park
스미스,Charles Edward Smith
금민철,Min-Chul Kum
윤승균,Seung-Gyun Yun
장교성,Kyo-Sung Jang
김진수,Jin-Soo Kim
이승엽,Seung-Yuop Lee 
양의지,Eui-Ji Yang
박진원,Jin-Won Park
이종욱,Jong-Wook Lee
민병헌,Byeong-Heon Min
최준석,Jun-Seok Choi
송수,Soo Song 
최주환,Joo-Hwan Choi
이대수,Dae-Soo Lee
이용찬,Yong-Chan Lee
이원재,Won-Jae Lee
허도환,Do-Hwan Heo
오재원,Jae-Won Oh
임태훈,Tae-Hun Lim
신재웅,Jae-Woong Shin
김강률,Kang-Ryul Kim
김하람,Ha-Ram Kim
최승환,Seung-Hwan Choi
김재환,Jae-Hwan Kim
김선우,Sun-Woo Kim
박민석,Min-Seok Park
이성열,Sung-Yeol Lee
고창성,Chang-Seong Ko
레이어,Charles Larry Justin Lehr
진야곱,Ya-Gob Jin
최재훈,Jae-Hun Choi
국해성,Hae-Seong Kuk
오현택,Hyun-Taek Oh
안동현,Dong-Hyeon Ahn
성영훈,Yeong-Hun Seong
왓슨,Matthew Kyle Watson
유희관,Hee-Gwan Yoo
정수빈,Soo-Bin Jeong
조승수,Seung-Soo Jo
허경민,Kyeong-Min Heo
오현근,Hyeon-Geun Oh
히메네스,Kelvin Rogelio Jimenez
조규수,Gyu-Soo Jo
김창훈,Chang-Hoon Kim
장민익,Min-Ik Jang
이현승,Hyun-Seung Lee
이재학,Jae-Hak Lee
정대현,Dae-Hyeon Jeong
김상훈,Sang-hoon Kim
황필선,Pil-Sun Hwang
김동한,Dong-Han Kim
정진호,Jin-Ho Jeong
강동연,Dong-Yeon Kang
안규영,Gyu-Young An
최현진,Hyun-Jin Choi
페르난도,Fernando Alexis Nieve
니퍼트,Dustin Nippert
황인권,In-Kwon Hwang
백진우,Jin-Woo Baek
김명성,Myeong-Seong Kim
윤명준,Myeong-Jun Yoon
박세혁,Se-Hyuk Park
오장훈,Jang-Hun Oh
김이슬,Yi-Sul Kim
이태오,Tae-Oh Lee
올슨,Garrett Olson
정혁진,Hyeok-Jin Jung
김인태,In-Tae Kim
함덕주,Deok-Ju Ham
유창준,Chang-Jun Yoo
정기훈,Gi-Hoon Jeong
칸투,Jorge Luís Cantú Guzmán
문진제,Jin-Je Moon
양종민,Jong-Min Yang
마야,Yunieski Maya
볼스테드,Christopher Kenneth Volstad
허준혁,Jun-Hyeok Huh
장민석,Min-Seok Jang
김진형,Jin-Hyeong Kim
최병욱,Byeong-Wook Choi
김수완,Soo-Wahn Kim
전용훈,Yong-Hun Jeon
장승현,Seung-Hyeon Jang
로메로,Deibinson Romero
루츠,Zach Lutz
신민재,Min-Jae Shin
사공엽,Yeop Sagong
스와잭,Anthony Swarzak
장원준,Won-Jun Jang
채원후,Chae Wonhu
남경호,Kyeong-Ho Nam
이용호,Yong-Ho Lee
박소준,So-Joon Park
정진철,Jin-Cheol Jung
박종욱,Jong-Wook Park
홍재용,Yong-jea Hong
최용제,Yong-Je Choi
박성민,Seong-Min Park
이찬기,Chan-Gi Lee
신창희,Chang-Hee Shin
서예일,Ye-Il Seo
홍성호,Sung-Ho Hong
오석,Suk OH
황경태,Kyung-Tae Hwang
정덕현,Deok-Hyun Jung
조수행,Su-Haeng Cho
보우덴,Michael Bowdent
고봉재,Bong-Jae Ko
고원준,Won-Jun Go
양구열,Gu-Yeol Yang
에반스,Nick Evans
이영하,Young-Ha Lee
홍영현,Young-Hyun Hong
노유성,Yoo-Sung Noh
박유연,Yoo-Yeon Park
방건우,Geon-Woo Bang
이유찬,Yu-Chan Lee
신성현,Seong-Hyeon Shin
김명신,Myeong-Shin Kim
문원,Won Moon
지윤,Yoon Ji
박찬범,Chan-Beom Park
박성환,Seong-Hwan Park
백민규,Min-Gyu Baek
박치국,Chi-Guk Park
전태준,Tae-Joon Jeon
김민혁,Min-Hyeok Kim
정인석,In-Seok Jung
김승후,Seung-Hoo Kim
김민규,Min-Kyu Kim
전민재,Min-Jae Jeon
곽빈,Been Gwak
김정후,Jung-Hoo Kim
최대성,Dae-Sung Choi
윤수호,Su-Ho Yoon
린드블럼,Joshua William Josh Lindblom
후랭코프,Seth Frankoff
정철원,Cheol-Won Jeong
반슬라이크,Scott T. Van Slyke
파레디스,Jimmy Paredes
박신지,Shin-Ji Park
현도훈,Do-Hoon Hyun
백동훈,Dong-Hun Baek
유재유,Jae-Yoo Yoo
박성모,Sung-Mo Park
신민철,Min-Cheol Shin
김호준,Ho-Jun Kim
이지모,Ji-Mo Lee
권민석,Min-Seok Kwon
계정웅,Jeong-Woong Gye
배창현,Chang-Hyun Bae
신현수,Hyun-Soo Shin
정우석,Woo-Suk Jung
안준,Jun An
송승환,Seung-Hwan Song
페르난데스,José Miguel Fernández
이정담,Jung-Dam Lee
김대한,Dae-Han Kim
김태근,Tae-Geun Kim
진재혁,Jae-Hyuk Jin
전루건,Jun Rugun
이교훈,Kyo-Hoon Lee
이민혁,Min-Hyeok Lee
정현욱,Hyun-Wook Jung
김문수,Mun-Su Kim
윤산흠,San-Heum Yoon
최지원,Ji-Won Choi
오명진,Myeong-Jin Oh
안권수,Kwon-Soo An
플렉센,Chris Flexen
권휘,Hwi Kwon
알칸타라,Raul Alcántara
장규빈,Gyu-Bin Jang
이승진,Seung-Jin Lee
정상호,Sang-Ho Jung
이주엽,Ju-Yeop Lee
전형근,Hyung-Geun Jeon
양찬열,Chan-Yul Yang
김성민,Seong-Min Kim
조제영,Je-Yeong Jo
최세창,Se-Chang Choi
박웅,Woong Park
최종인,Jong-In Choi
안재석,Jae-Seok An
남호,Ho Nam
강승호,Seung-Ho Kang
로켓,Andrew Walker Lockett
양석환,Seok-Hwan Yang
미란다,Ariel Miranda
최승용,Seung-Yong Choi
강현구,Hyun-Gu Kang
김도경,Do-Kyung Kim
김도윤,Do-Yoon Kim
임태윤,Tae-Yoon Lim
이상연,Sang-Yeon Lee
강원진,Won-Jin Kang
박성재,Sung-Jae Park
김주완,Ju-Wahn Kim
양현진,Hyun-Jin Yang
안찬호,Chan-Ho An
장빈,Bin Jang
오세훈,Se-Hun OH
백종수,Jong-Soo Baek
김지용,Ji-Yong Kim
안승한,Seung-Han Ahn
스탁,Robert Anthony Stock
최지강,Ji-Kang Choi
강진성,Jin-Sung Kang
브랜든,Brandon David Waddell
이병헌,Byeong-Heon Lee
김동준,Dong-Jun Kim
전희범,Hee-Beom Jeon
윤태호,Tae-Ho Yoon
정유석,Yu-Seok Jung
강동형,Dong-Hyeong Kang
임준형,Jun-Hyeong Lim
김시완,Si-Wahn Kim
강산,San Kang
천현재,Hyeon-Jae Cheon
이민석,Min-Suk Lee
박준영,Jun-Young Park
로하스,Jose Rojas
김정우,Jeong-Woo Kim
딜런,Dylan Michael File 
제환유,Je Hwan-Yu
최준호,Jun-Ho Choi
김유성,Yoo-Seong Kim
임서준,Seo-Jun Im
윤준호,Jun-Ho Yoon
한충희,Choong-Hee Han
백승우,Seung-Woo Baek
박민준,Min-Joon Park
남율,Yu Naml
이정원,Jung-Won Lee
이기석,Ki-Seok Lee
조선명,Sun-Myung Cho
라모스,Henry Ramos
박지호,Ji-ho Park
여동건,Dong-Keon Yeo
류현준,Hyun-jun Ryu
시라카와,Keisho Shirakawa
임종성,Jong-Seong Im
발라조빅,Jordan Balazovic
김기연,Ki-Yeon Kim
전다민,Da-min Jeon
김택연,Taek-Yeon Kim
강태완,Tae-wan Kang
제러드,Jared Young
김무빈,Moo-bin Kim
손율기,Yul-gi Son
김태완,Tae-wan Kim
장원호,Won-Ho Jang
김경기,Kyung-Ki Kim
조동화,Dong-Hwa Cho
손차훈,Cha-Hoon Son
장재명,Jae-Myung Jang
최태원,Tae-Won Choi
유현승,Hyun-Seung Yoo
신주일,Ju-Il Shin
김원형,Won-Hyong Kim
이승호,Seung-Ho Lee
박정현,Jung-Hyun Park
정원배,Won-Bae Jung
김선섭,Sun-Sub Kim
풀리엄,Harvey Pulliam
박주언,Joo-Eon Park
박진석,Jin-Seok Park
김기덕,Ki-Duk Kim
브리또,Tilson Manuel Brito Jiménez
뮬렌,Hensley Meulens
배홍철,Hong-Chul Bae
조원우,Won-Woo Cho
혼즈,Tyrone Hornes
조병찬,Byung-Chan-Cho
길배진,Bae-Jin Gil
장재중,Jae-Joong Jang
손동일,Dong-Il Son
강희석,Hee-Seok Kang
장용대,Yong-Dae Jang
장광호,Gwang-Ho Jang
엄정욱,Jung-wook Um
김종헌,Jong-Heon Kim
김충민,Chung-Min Kim
김태석,Tae-Seok Kim
정수찬,Soo-Chan Jung
정대현,Dae-Hyun Jung
김동건,Dong-Kun Kim
강성우,Sung-Woo Kang
박준서,Jun-Seo Park
조형식,Hyung-Sik Cho
오승준,Seung-Jun Oh
에르난데스,Fernando Hernandez
조중근,Jung-Geun Cho
조웅천,Woong-Cheon Cho
박재상,Jae-Sang Park
에레라,Jose Herrera
김장준,Jang-Jun Kim
김용섭,Yong-Seob Kim
오민철,Min-Cheol Oh
박창근,Chang-Geun Park
방정우,Jung-Woo Bang
김강민,Kang-Min Kim
김문홍,Moon-Hong Kim
제춘모,Chun-Mo Je
하지호,Ji-Ho Ha
김민재,Min-Jae Kim
매기,Daniel Magee
박두일,Doo-Il Park
페르난데스,Jose Fernandez
권영진,Young-Jin Kwon
부시,David Bush
김강석,Kang-Suk Kim
러핀,Johnny Ruffin
지훈,Hun Ji
임성헌,Seong-Heon Lim
채병용,Byung-Yong Chae
박규민,Kyu-Min Park
김종진,Jong-Jin Kim
김재구,Jae-Gu Kim
김상록,Sang-Rok Kim
윤형국,Hyung-Guk Yoon
윤성길,Seong-Gil Yoon
이장환,Jang-Hwan Lee
매그레인,Jim Magrane
정규창,Gyu-Chang Jung
이재인,Jae-In Lee
잉글린,Jeffrey Inglin
글로버,Gary Glover
마리오,Mario Jose Santiago
최진호,Jin-Ho Choi
이건욱,Geon-Wook Lee
윤길현,Gil-Hyun Yoon
이석재,Seok-Jae Lee
이윤재,Yoon-Jae Lee
김정남,Jong-Nam Kim
이경재,Kyung-Jae Lee
이양우,Yang-Woo Lee
황건주,Geon-Ju Hwang
위준호,Joon-Ho Wee
최윤철,Choi Yun-Cheol
유영하,Young-Ha Yoo
민경수,Keong-Soo Min
스미스,Travis Smith
박경완,Kyung-Wahn Park
디아즈,Eddy Diaz
송수근,Soo-Geun Song
김진성,Jin-Sung Kim
김종민,Jong-Min Kim
임훈,Hoon Im
카브레라,José Alberto Cabrera
최혁길,Hyuk-Gil Choi
윤희상,Hee-Sang Yoon
박권수,Kwon-Soo Park
윤현식,Hyun-Sik Yoon
박정권,Jung-Kwon Park
장찬,Chan Jang 
김원,Won Kim
양승학,Seung-Hak Yang
정우람,Woo-Ram Jung
정근우,Geun-Woo Jeong
조영민,Young-Min Cho
크루즈,Nelson Cruz
산체스,Jesus Sanchez
차바치,Ronald Chiavacci
최정,Jeong Choi
김선규,Sun-Kyu Kim
김태환,Tae-Hwan Kim
홍성수,Sung-Soo Hong
권덕준,Duk-Jun Kwon
위재영,Jae-Young Wee
세라노,James Serrano
시오타니,Shiotani Kazuhiko
이재원,Jae-Won Lee
이한진,Han-Jin Lee
조재호,Jae-Ho Cho
피커링,Calvin Pickering
정병희,Byeong-Heui Jeong
박희수,Hee-Soo Park
홍명찬,Myung-chan Hong
가득염,Deuk-Yeom Ka
채종국,Jong-Guk Chae
박윤,Yoon Park
한윤기,Yoon-Gi Han
이창욱,Chang-Wook Lee
레이번,Kenneth Rayborn
로마노,Michael Romano
김기현,Ki-Hyun Kim
박연수,Yeon-Soo Park
모창민,Chang-Min Mo
백청훈,Chung-Hoon Baek
얀,Esteban Yan
윤요섭,Yo-Seop Yoon
레이,Kenneth Ray
쿠비얀,Darwin Cubillan
허일상,Il-Sang Heo
박현준,Hyun-Jun Park
여건욱,Geon-Wook Yeo
김용우,Yong-Woo Kim
윤석주,Seok-ju Yoon
최윤석,Yun-Seok Choi
권용관,Yong-Gwan Gwon
허웅,Woong Heo
최동수,Dong-Soo Choi
안치용,Chi-Yong Ahn
문광은,Kwang-Eun Moon
최원재,Won-Jae Choi
김정훈,Jung-Hun Kim
전준호,Jun-Ho Jeon
